,title,issueNum,year,creator
66,Green Arrow,113,1988,Lee Loughridge
67,Justice League United,5,2014,Jeromy N. Cox
68,Justice League United,5,2014,Timothy Green
69,Justice League United,5,2014,Jeff Lemire
70,Justice League United,5,2014,Joseph Silver
71,Dark Knight III: The Master Race,1,2016,Klaus R. Janson
72,Dark Knight III: The Master Race,1,2016,Andy Kubert
73,Dark Knight III: The Master Race,1,2016,Frank Miller
74,Dark Knight III: The Master Race,1,2016,Brad Anderson
75,Dark Knight III: The Master Race,1,2016,Brian Azzarello
76,Green Arrow,67,2001,Guy Major
77,Green Arrow,67,2001,Andy Owens
78,Green Arrow,67,2001,Scott Alan McDaniel
79,Green Arrow,67,2001,Judd Winick
80,Green Lantern: New Guardians,5,2011,Matt Banning - 'Batt'
81,Green Lantern: New Guardians,5,2011,Nei Ruffino
82,Green Lantern: New Guardians,5,2011,Antony J.L. Bedard - 'Tony Bedard'
83,Green Lantern: New Guardians,5,2011,Tyler Kirkham
84,Aquaman,11,2003,Mark Propst
85,Aquaman,11,2003,Rick Veitch
86,Aquaman,11,2003,Nathan Eyring
87,Aquaman,11,2003,Yvel Guichet
88,The Flash,148,1987,Paul Pelletier
89,The Flash,148,1987,Tom J. McCraw
90,The Flash,148,1987,Vince Russell
91,The Flash,148,1987,Brian Michael Augustyn
92,The Flash,148,1987,Mark Waid
93,Superman/Batman: The Greatest Stories Ever Told,None,2007,Guy Major
94,Superman/Batman: The Greatest Stories Ever Told,None,2007,Len Wein
95,Superman/Batman: The Greatest Stories Ever Told,None,2007,Cliff Rathburn
96,Superman/Batman: The Greatest Stories Ever Told,None,2007,Dexter Vines
97,Superman/Batman: The Greatest Stories Ever Told,None,2007,Don Hillsman II
98,Superman/Batman: The Greatest Stories Ever Told,None,2007,Alex Sinclair - 'Sinc'
99,Superman/Batman: The Greatest Stories Ever Told,None,2007,Dick Dillin
100,Superman/Batman: The Greatest Stories Ever Told,None,2007,Rodney Ramos
101,Superman/Batman: The Greatest Stories Ever Told,None,2007,John Byrne
102,Superman/Batman: The Greatest Stories Ever Told,None,2007,Peter Doherty
103,Superman/Batman: The Greatest Stories Ever Told,None,2007,Dick Giordano
104,Superman/Batman: The Greatest Stories Ever Told,None,2007,Neal Adams
105,Superman/Batman: The Greatest Stories Ever Told,None,2007,Karl Kesel
