,title,issueNum,year,creator
1001,Justice League of America,6,2013,Jeff Lemire
1002,Justice League of America,6,2013,Gabriel A. Eltaeb
1003,Justice League of America,6,2013,Christian Alamy
1004,Justice League of America,6,2013,Tom Nguyen
1005,Justice League of America,6,2013,Nathan Eyring
1006,Justice League of America,6,2013,Keith C. Champagne
1007,Justice League of America,6,2013,Geoff Johns
1008,Justice League of America,6,2013,Doug Mahnke
1009,Nightwing,112,1996,Gregory A. Wright
1010,Nightwing,112,1996,Devin Kallie Grayson
1011,Nightwing,112,1996,Ande J. Parks
1012,Nightwing,112,1996,Phillip 'Phil' Hester
1013,Justice League of America,41,2006,James Dale Robinson
1014,Justice League of America,41,2006,Marlo Alquiza
1015,Justice League of America,41,2006,Mark Bagley
1016,Justice League of America,41,2006,Robert 'Rob' Hunter - 'Bobby-C'
1017,Justice League of America,41,2006,Pete Pantazis
1018,Justice League of America,41,2006,Walden Wong
1019,Green Lantern Corps,None,2006,Nei Ruffino
1020,Green Lantern Corps,None,2006,Gabriel A. Eltaeb
1021,Green Lantern Corps,None,2006,Luke Ross - 'Luciano Queiroz'
1022,Green Lantern Corps,None,2006,Randy G. Mayor
1023,Green Lantern Corps,None,2006,Drew Geraci
1024,Green Lantern Corps,None,2006,Patrick 'Pat' Gleason
1025,Green Lantern Corps,None,2006,Peter J. Tomasi
1026,Green Lantern Corps,None,2006,Rebecca Buchman
1027,Green Lantern Corps,None,2006,Fabio Laguna
1028,Justice League Unlimited,18,2004,Heroic Age
1029,Justice League Unlimited,18,2004,Ethen Beavers
1031,Justice League Unlimited,18,2004,Johnny DC
1032,Justice League Unlimited,18,2004,Adam Beechen
1033,Green Lantern,40,1990,Romeo Tanghal
1034,Green Lantern,40,1990,Anthony Tollin
1035,Green Lantern,40,1990,Jean-Claude St. Aubin - 'Claude St. Aubin'
1036,Green Lantern,40,1990,Gerard Jones
1037,Green Lantern: Emerald Dawn,6,1989,Romeo Tanghal
1038,Green Lantern: Emerald Dawn,6,1989,Mark D. Bright - 'Doc Bright'
1039,Green Lantern: Emerald Dawn,6,1989,Gerard Jones
1040,Green Lantern: Emerald Dawn,6,1989,Keith Ian Giffen
1041,Green Lantern: Emerald Dawn,6,1989,Anthony Tollin
1042,Green Lantern: New Guardians,7,2011,Matt Banning - 'Batt'
1043,Green Lantern: New Guardians,7,2011,Nei Ruffino
1044,Green Lantern: New Guardians,7,2011,Antony J.L. Bedard - 'Tony Bedard'
1045,Green Lantern: New Guardians,7,2011,Tyler Kirkham
1046,Justice League 3000,6,2014,John Marc 'J.M.' DeMatteis
1047,Justice League 3000,6,2014,Howard Porter
1048,Justice League 3000,6,2014,Hi-Fi Colour Design
1049,Justice League 3000,6,2014,Keith Ian Giffen
1050,Justice League Dark,26,2011,Vicente Cifuentes
1051,Justice League Dark,26,2011,Jordi Tarragona
1052,Justice League Dark,26,2011,Mikel Janin
1053,Justice League Dark,26,2011,Jeromy N. Cox
1054,Justice League Dark,26,2011,Guillermo Ortego
1055,Justice League Dark,26,2011,John Marc 'J.M.' DeMatteis
1056,Justice League,2,2011,Eddie Berganza
1057,Justice League,2,2011,Alex Sinclair - 'Sinc'
1058,Justice League,2,2011,Rex Ogle
1059,Justice League,2,2011,Scott Williams
1060,Justice League,2,2011,Jim Lee
1061,Justice League,2,2011,Geoff Johns
1062,Green Arrow,41,2011,Benjamin Percy
1063,Green Arrow,41,2011,Patrick Zircher - 'Patch Zircher'
1064,Green Arrow,41,2011,Gabriel A. Eltaeb
1065,Justice League of America,121,1960,Frank McLaughlin
1066,Justice League of America,121,1960,Cary Bates
1067,Justice League of America,121,1960,Dick Dillin
1068,Justice League of America,121,1960,Carl Gafford - 'Gaff'
1069,Unfollow,None,2016,Vertigo
1070,Unfollow,None,2016,Rob Williams
1072,The Flash,125,1987,Tom J. McCraw
1073,The Flash,125,1987,John Nyberg
1074,The Flash,125,1987,Brian Michael Augustyn
1075,The Flash,125,1987,Paul Ryan
1076,The Flash,125,1987,Mark Waid
1077,Green Lantern,28,2005,Jonathan D. Smith - 'J.D.'
1078,Green Lantern,28,2005,Marlo Alquiza
1079,Green Lantern,28,2005,Andy Lanning
1080,Green Lantern,28,2005,Geoff Johns
1081,Green Lantern,28,2005,Mike McKone
1082,Green Lantern,28,2005,Norm Rapmund
1083,The Flash,229,1959,Tatjana Wood
1084,The Flash,229,1959,Irving ''Irv'' Novick
1086,The Flash,229,1959,Cary Bates
1087,The Flash,229,1959,Nick Cardy
1088,The Flash,229,1959,Frank McLaughlin
1089,Aquaman,22,2003,Nathan Eyring
1090,Aquaman,22,2003,Will Pfeifer
1091,Aquaman,22,2003,Christian Alamy
1092,Aquaman,22,2003,Patrick 'Pat' Gleason
1093,Lucifer,2,2016,Vertigo
1094,Lucifer,2,2016,Lee Garbett
1095,Lucifer,2,2016,Holly Black
1097,Lucifer,2,2016,Antonio Fabela
1098,The Flash,232,1987,Daniel Acua - 'Daniel Acua Perez'
1099,The Flash,232,1987,Mark Waid
1100,Wonder Woman,11,2011,Cliff Wu Chiang
1101,Wonder Woman,11,2011,Matthew 'Matt' Wilson - '(Primarily an artist)'
1102,Wonder Woman,11,2011,Brian Azzarello
1103,Birds of Prey,51,1999,Casey Jones
1104,Birds of Prey,51,1999,Hi-Fi Colour Design
1105,Birds of Prey,51,1999,Gilbert Hernandez - 'Beto'
1106,The Flash,49,2011,Van Jensen
1107,The Flash,49,2011,Robert Venditti
1108,The Flash,49,2011,Guy Major
1109,The Flash,49,2011,Phillipe Briones - 'Phil Briones'
1110,Green Lantern,99,1960,Anthony Tollin
1111,Green Lantern,99,1960,Vincent Joseph Colletta - 'Vince / Vinnie / P. Zorito'
1112,Green Lantern,99,1960,Mike Grell
1113,Green Lantern,99,1960,Dennis 'Denny' O'Neil
1114,Justice League Europe,27,1989,Randy Elliott
1115,Justice League Europe,27,1989,Gerard Jones
1116,Justice League Europe,27,1989,Bart Sears - 'Wittman'
1117,Justice League Europe,27,1989,Keith Ian Giffen
1118,Justice League Europe,27,1989,Gene D'Angelo
1119,The Flash,98,1987,Tom J. McCraw
1120,The Flash,98,1987,Jose Marzan Jr.
1121,The Flash,98,1987,Salvador Larroca
1122,The Flash,98,1987,Mark Waid
1123,Adventures of Supergirl [II],3,2016,Sterling Gates
1124,Adventures of Supergirl [II],3,2016,Hi-Fi Colour Design
1125,Adventures of Supergirl [II],3,2016,Emanuela Lupacchino
1126,Adventures of Supergirl [II],3,2016,Ray McCarthy
1127,Supergirl,18,1996,Cam Smith
1128,Supergirl,18,1996,Leonard Kirk
1129,Supergirl,18,1996,Peter Allen David - 'PAD'
1130,Supergirl,18,1996,Gene D'Angelo
1131,Wonder Woman,137,1987,Romeo Tanghal
1132,Wonder Woman,137,1987,Mark D. Bright - 'Doc Bright'
1133,Wonder Woman,137,1987,Ian Laughlin
1134,Wonder Woman,137,1987,Greg Adams
1135,Wonder Woman,137,1987,Christopher Priest
1136,The Flash,54,1987,Greg LaRocque
1137,The Flash,54,1987,William Messner-Loebs
1138,The Flash,54,1987,Jose Marzan Jr.
1139,The Flash,54,1987,Glenn Whitmore
1140,Green Lanterns,11,2016,Sam Humphries
1141,Green Lanterns,11,2016,Robson Rocha
1142,Green Lanterns,11,2016,Jay Leisten
1143,Green Lanterns,11,2016,Blond
1144,Green Lanterns,11,2016,Cam Smith
1145,Justice League America,None,1989,John Marc 'J.M.' DeMatteis
1146,Justice League America,None,1989,Mike McKone
1147,Justice League America,None,1989,Bob Smith
1148,Justice League America,None,1989,Keith Ian Giffen
1149,Justice League America,None,1989,Gene D'Angelo
1150,Aquaman: Sword of Atlantis,54,2006,Tad Williams
1151,Aquaman: Sword of Atlantis,54,2006,Shawn McManus
1152,Aquaman: Sword of Atlantis,54,2006,Guy Major
1153,Batgirl & the Birds of Prey: Rebirth,1,2016,Julie Benson
1154,Batgirl & the Birds of Prey: Rebirth,1,2016,Claire Roe
1155,Batgirl & the Birds of Prey: Rebirth,1,2016,Shawna Benson
1156,Batgirl & the Birds of Prey: Rebirth,1,2016,Allen Passalaqua - 'Allen Passalaqua as I.L.L.'
1157,Wonder Woman,160,1987,Scott Kolins
1158,Wonder Woman,160,1987,Dan Panosian - 'Judas Jones'
1159,Wonder Woman,160,1987,Pamela Rambo
1160,Wonder Woman,160,1987,Brian K. Vaughan
1161,Aquaman,53,1962,Steve Skeates
1162,Aquaman,53,1962,Jim Aparo
1164,Green Arrow,15,1988,Frank McLaughlin
1165,Green Arrow,15,1988,Mike Grell
1166,Green Arrow,15,1988,Ed J. Hannigan
1167,Green Arrow,15,1988,Julia Lacquement
1168,Green Arrow,15,1988,Dick Giordano
1169,Supergirl and the Legion of Super-Heroes,21,2006,Barry Kitson
1170,Supergirl and the Legion of Super-Heroes,21,2006,Rob Stull
1171,Supergirl and the Legion of Super-Heroes,21,2006,Mark Waid
1172,Supergirl and the Legion of Super-Heroes,21,2006,Adam DeKraker
1173,Supergirl and the Legion of Super-Heroes,21,2006,Antony J.L. Bedard - 'Tony Bedard'
1174,Supergirl and the Legion of Super-Heroes,21,2006,Nathan Eyring
1175,Green Arrow,14,1988,Dan Jurgens
1176,Green Arrow,14,1988,Frank McLaughlin
1177,Green Arrow,14,1988,Mike Grell
1178,Green Arrow,14,1988,Julia Lacquement
1179,Green Arrow,14,1988,Dick Giordano
1180,Wonder Woman,15,1942,Harry G. Peter
1181,Wonder Woman,15,1942,Sheldon Mayer
1182,Wonder Woman,15,1942,Julius Schwartz
1183,Wonder Woman,15,1942,Ted Udall
1184,Sensation Comics Featuring Wonder Woman [II],1,2014,Hi-Fi Colour Design
1185,Sensation Comics Featuring Wonder Woman [II],1,2014,Kristy Quinn
1186,Sensation Comics Featuring Wonder Woman [II],1,2014,Brian Miller
1187,Sensation Comics Featuring Wonder Woman [II],1,2014,Gail Simone
1188,Sensation Comics Featuring Wonder Woman [II],1,2014,Marcelo Di Chiara
1189,Sensation Comics Featuring Wonder Woman [II],1,2014,Ethan Van Sciver
1190,Sensation Comics Featuring Wonder Woman [II],1,2014,Jessica Chen
1191,Green Lantern Corps,0,2011,Scott Hanna
1192,Green Lantern Corps,0,2011,Fernando Pasarin
1193,Green Lantern Corps,0,2011,Gabriel A. Eltaeb
1194,Green Lantern Corps,0,2011,Peter J. Tomasi
1195,Green Lantern Corps,0,2011,Marc Deering
1196,Wonder Woman,150,1987,Matthew Clark
1197,Wonder Woman,150,1987,Ray Snyder
1198,Wonder Woman,150,1987,Eric Luke
1199,Wonder Woman,150,1987,Patricia 'Trish' Mulvihill
1200,Wonder Woman,150,1987,Tom Simmons
1201,Green Lantern,46,1990,Romeo Tanghal
1202,Green Lantern,46,1990,Mark D. Bright - 'Doc Bright'
1203,Green Lantern,46,1990,Gerard Jones
1204,Green Lantern,46,1990,Anthony Tollin
1205,The Flash,87,1987,Jose Marzan Jr.
1206,The Flash,87,1987,Gina Going-Raney - 'Gina Going'
1207,The Flash,87,1987,Mike Wieringo
1208,The Flash,87,1987,Mark Waid
1209,The Flash: Rebirth,1,2009,Geoff Johns
1210,The Flash: Rebirth,1,2009,Ethan Van Sciver
1211,The Flash: Rebirth,1,2009,Alex Sinclair - 'Sinc'
1212,Wonder Woman,69,1987,Paris Cullins
1213,Wonder Woman,69,1987,Aaron McClellan
1214,Wonder Woman,69,1987,Ande J. Parks
1215,Wonder Woman,69,1987,William Messner-Loebs
1216,Wonder Woman,69,1987,Robert Campanella
1217,Wonder Woman,69,1987,Matthew 'Matt' Hollingsworth
1218,Green Arrow,121,1988,Charles 'Chuck' Dixon
1219,Green Arrow,121,1988,William 'Will' Rosado
1220,Green Arrow,121,1988,Robert Campanella
1221,Green Arrow,121,1988,Lee Loughridge
1222,Green Lantern,30,1941,Sheldon Mayer
1223,Green Lantern,30,1941,Alex Toth
1224,Aquaman,29,2003,John Arcudi
1225,Aquaman,29,2003,Nathan Eyring
1226,Aquaman,29,2003,Christian Alamy
1227,Aquaman,29,2003,Patrick 'Pat' Gleason
1228,Green Lantern,167,1990,Rick Burchett
1229,Green Lantern,167,1990,Rodney Ramos
1230,Green Lantern,167,1990,W. Moose Baumann
1231,Green Lantern,167,1990,Benjamin 'Ben' Raab
1232,Green Lantern Corps,16,2006,Dave Gibbons
1233,Green Lantern Corps,16,2006,Drew Geraci
1234,Green Lantern Corps,16,2006,Angel Unzueta
1235,Green Lantern Corps,16,2006,Patrick 'Pat' Gleason
1236,Green Lantern Corps,16,2006,Guy Major
1237,Green Lantern Corps,16,2006,Prentis Rollins
1238,Justice League Europe,22,1989,Gene D'Angelo
1239,Justice League Europe,22,1989,Gerard Jones
1240,Justice League Europe,22,1989,Marshall Rogers
1241,Justice League Europe,22,1989,Keith Ian Giffen
1242,Justice League Europe,22,1989,Jose Marzan Jr.
1243,Wonder Woman,170,1942,Robert 'Bob' Kanigher
1244,Wonder Woman,170,1942,Mike Esposito - 'Espo'
1245,Wonder Woman,170,1942,Ross Andru
1246,The Flash,12,2011,Brian Buccellato - 'Brian Bucce'
1247,The Flash,12,2011,Francis Manapul
1248,The Green Lantern Corps,207,1986,Anthony Tollin
1249,The Green Lantern Corps,207,1986,Steve Englehart
1250,The Green Lantern Corps,207,1986,Joe Staton
1251,The Green Lantern Corps,207,1986,Mark Farmer
1252,Aquaman,17,2011,Sean P. Parsons
1253,Aquaman,17,2011,Geoff Johns
1254,Aquaman,17,2011,Paul Pelletier
1255,Aquaman,17,2011,Rodrigo Reis - 'Rod'
1256,Wonder Woman,184,1987,Patricia 'Trish' Mulvihill
1257,Wonder Woman,184,1987,Phil Jimenez
1258,Wonder Woman,184,1987,Wildstorm FX
1259,Wonder Woman,184,1987,Andy Lanning
1260,The Flash,37,2011,Robert Venditti
1262,The Flash,37,2011,Van Jensen
1263,The Flash,37,2011,Andrew Dalhouse
1264,The Flash,37,2011,Brett Booth
1266,The Flash,37,2011,Norm Rapmund
1267,Wonder Woman,194,1987,Walter Simonson
1268,Wonder Woman,194,1987,Wildstorm FX
1269,Wonder Woman,194,1987,Jerry Ordway
1270,Wonder Woman,194,1987,Patricia 'Trish' Mulvihill
1271,Wonder Woman,194,1987,Philip Craig Russell - 'P. Craig Russell'
1272,Justice League of America,1,2006,Ed Benes
1273,Justice League of America,1,2006,Mariah Benes
1274,Justice League of America,1,2006,Alex Sinclair - 'Sinc'
1275,Justice League of America,1,2006,Sandra Hope-Archer
1276,Justice League of America,1,2006,Brad Meltzer
1277,The Flash,13,2011,Ian Herring
1278,The Flash,13,2011,Brian Buccellato - 'Brian Bucce'
1279,The Flash,13,2011,Francis Manapul
1280,Wonder Woman,613,1942,Travis Moore
1281,Wonder Woman,613,1942,Walden Wong
1282,Wonder Woman,613,1942,Drew Geraci
1283,Wonder Woman,613,1942,Wayne Faucher
1284,Wonder Woman,613,1942,Phillip 'Phil' Hester
1285,Wonder Woman,613,1942,Pete Pantazis
1286,Wonder Woman,613,1942,Don Kramer
1287,Wonder Woman,613,1942,Joseph Michael Straczynski Sr. - 'JMS'
1288,Aquaman,32,1962,George Kashdan
1289,Aquaman,32,1962,Nick Cardy
1290,Aquaman,32,1962,Bob Haney
1291,Nightwing,14,1996,Roberta Tewes
1292,Nightwing,14,1996,Charles 'Chuck' Dixon
1293,Nightwing,14,1996,Karl C. Story
1294,Nightwing,14,1996,Scott Alan McDaniel
1295,Nightwing,14,1996,Allen Jamison - 'Jamison/Jamison Services'
1296,Green Lantern,139,1990,Darryl Banks
1297,Green Lantern,139,1990,W. Moose Baumann
1298,Green Lantern,139,1990,Rich Faber
1299,Green Lantern,139,1990,Judd Winick
1300,The Flash,168,1987,Angel Unzueta
1301,The Flash,168,1987,Geoff Johns
1302,The Flash,168,1987,Tom J. McCraw
1303,The Flash,168,1987,Doug Hazlewood
1304,The Flash,168,1987,Allen Jamison - 'Jamison/Jamison Services'
1305,The Fury of Firestorm: The Nuclear Men,None,2011,Hi-Fi Colour Design
1306,The Fury of Firestorm: The Nuclear Men,None,2011,Steve Buccellato - 'Bucce'
1307,The Fury of Firestorm: The Nuclear Men,None,2011,Gail Simone
1308,The Fury of Firestorm: The Nuclear Men,None,2011,Yildiray Cinar - 'Yldray nar'
1309,The Fury of Firestorm: The Nuclear Men,None,2011,Ethan Van Sciver
1310,The Fury of Firestorm: The Nuclear Men,None,2011,Norm Rapmund
1311,The Fury of Firestorm,58,1982,Bruce D. Patterson
1312,The Fury of Firestorm,58,1982,Barbara J. Randall
1313,The Fury of Firestorm,58,1982,Joe Brozowski - 'J.J. Birch'
1314,The Fury of Firestorm,58,1982,John Ostrander
1315,The Fury of Firestorm,58,1982,Nansi Hoolahan
1316,The Fury of Firestorm,58,1982,Pablo Marcos
1317,The Fury of Firestorm,58,1982,Dennis 'Denny' O'Neil
1318,Suicide Squad,7,2016,Harvey Richards
1319,Suicide Squad,7,2016,Jeremiah Skipper
1320,Suicide Squad,7,2016,Andy Khouri
1321,Suicide Squad,7,2016,Brian Cunningham
1322,Suicide Squad,7,2016,Jonathan Glapion
1323,Suicide Squad,7,2016,Sandra Hope-Archer
1324,Suicide Squad,7,2016,Alex Sinclair - 'Sinc'
1325,Suicide Squad,7,2016,Scott Williams
1326,Suicide Squad,7,2016,Jim Lee
1327,Suicide Squad,7,2016,Robert 'Bob' Harras
1328,Suicide Squad,7,2016,Rob Williams
1330,Green Lantern,128,1960,Jack C. Harris
1331,Green Lantern,128,1960,Joe Staton
1332,Green Lantern,128,1960,Dennis 'Denny' O'Neil
1333,Green Lantern,128,1960,Dick Giordano
1334,Birds of Prey,34,1999,Charles 'Chuck' Dixon
1335,Birds of Prey,34,1999,Gloria Vasquez
1336,Birds of Prey,34,1999,Jackson 'Butch' Guice
1337,Birds of Prey,34,1999,Digital Chameleon
1338,Birds of Prey,99,1999,James Raiz
1339,Birds of Prey,99,1999,Robin Riggs
1340,Birds of Prey,99,1999,Hi-Fi Colour Design
1341,Birds of Prey,99,1999,Gail Simone
1342,Aquaman,15,2011,Rodrigo Reis - 'Rod'
1343,Aquaman,15,2011,Geoff Johns
1344,Aquaman,15,2011,Karl Kesel
1345,Aquaman,15,2011,Paul Pelletier
1346,Aquaman,15,2011,Arthur  Edward Thibert
1347,Justice League of America,92,1960,Julius Schwartz
1349,Justice League of America,92,1960,Dick Giordano
1350,Justice League of America,92,1960,Mike Friedrich
1351,Justice League of America,92,1960,Neal Adams
1352,Justice League of America,92,1960,Dick Dillin
1353,Justice League of America,92,1960,Joe Giella
1354,Wonder Woman,91,1942,Irving ''Irv'' Novick
1355,Wonder Woman,91,1942,Robert 'Bob' Kanigher
1356,Wonder Woman,91,1942,Whitney Ellsworth
1357,Arrow: The Dark Archer,9,2016,Daniel Sampere
1358,Arrow: The Dark Archer,9,2016,Carole E. Barrowman
1359,Arrow: The Dark Archer,9,2016,Juan Albarran
1360,Arrow: The Dark Archer,9,2016,Kyle Ritter
1361,Arrow: The Dark Archer,9,2016,John Barrowman
1362,Green Lantern,124,1960,Adrienne Roy
1363,Green Lantern,124,1960,Frank McLaughlin
1364,Green Lantern,124,1960,Joe Staton
1365,Green Lantern,124,1960,Dennis 'Denny' O'Neil
1366,Wonder Woman,16,1942,Harry G. Peter
1367,Wonder Woman,16,1942,Sheldon Mayer
1368,Wonder Woman,16,1942,Julius Schwartz
1369,Wonder Woman,16,1942,Ted Udall
1370,Wonder Woman,63,1987,Tom 'Tennessee' Peyer
1371,Wonder Woman,63,1987,Jill Thompson
1372,Wonder Woman,63,1987,William Messner-Loebs
1373,Wonder Woman,63,1987,Nansi Hoolahan
1374,Wonder Woman,63,1987,Romeo Tanghal
1375,Green Lantern Corps,41,2006,Gabriel A. Eltaeb
1376,Green Lantern Corps,41,2006,Randy G. Mayor
1377,Green Lantern Corps,41,2006,Tom Nguyen
1378,Green Lantern Corps,41,2006,Patrick 'Pat' Gleason
1379,Green Lantern Corps,41,2006,Keith C. Champagne
1380,Green Lantern Corps,41,2006,Peter J. Tomasi
1381,Green Lantern Corps,41,2006,Rebecca Buchman
1382,The Flash: Rebirth,3,2009,Geoff Johns
1383,The Flash: Rebirth,3,2009,Ethan Van Sciver
1384,The Flash: Rebirth,3,2009,Hi-Fi Colour Design
1385,The Flash: Rebirth,3,2009,Brian Miller
1386,Aquaman,14,2016,Phillipe Briones - 'Phil Briones'
1387,Aquaman,14,2016,Gabriel A. Eltaeb
1388,Aquaman,14,2016,Dan Abnett
1389,Green Lantern,22,2011,Jonathan 'Jon' Sibal
1390,Green Lantern,22,2011,Billy Tan - 'Billy Tan Mung Khoy'
1391,Green Lantern,22,2011,Robert 'Rob' Hunter - 'Bobby-C'
1392,Green Lantern,22,2011,Robert Venditti
1393,Green Lantern,22,2011,Alex Sinclair - 'Sinc'
1394,Green Lantern,22,2011,Tony Avia
1395,Aquaman,40,2011,Rainier 'Rain' Beredo
1396,Aquaman,40,2011,Paul Pelletier
1398,Aquaman,40,2011,Jeff Parker
1399,Aquaman,40,2011,Wayne Faucher
1400,Aquaman,40,2011,Tony Kordos - 'Timmy Kudos'
1401,Aquaman,40,2011,Sandra Hope-Archer
1403,Green Arrow,13,2001,Kevin Smith
1404,Green Arrow,13,2001,Ande J. Parks
1405,Green Arrow,13,2001,James R. Sinclair - 'Jim'
1406,Green Arrow,13,2001,Phillip 'Phil' Hester
1407,Green Arrow,99,1988,Jim Aparo
1408,Green Arrow,99,1988,Charles 'Chuck' Dixon
1409,Green Arrow,99,1988,Gerry Fernandez
1410,Green Arrow,99,1988,Lee Loughridge
1411,Green Arrow: Futures End,1,2014,Marcelo Maiolo
1412,Green Arrow: Futures End,1,2014,Andrea Sorrentino
1413,Green Arrow: Futures End,1,2014,Jeff Lemire
1414,The Flash,128,1959,Joe Giella
1416,The Flash,128,1959,Carmine Infantino
1417,The Flash,128,1959,John Broome
1418,Wonder Woman,281,1942,David 'Dave' Hunt
1419,Wonder Woman,281,1942,Jerry Serpe
1420,Wonder Woman,281,1942,Gerry Conway
1421,Wonder Woman,281,1942,Len Wein
1422,Wonder Woman,281,1942,Dick Giordano
1423,Wonder Woman,281,1942,Jos Delbo
1424,Wonder Woman,281,1942,Ross Andru
1425,Green Lantern Corps,43,2006,Tom Nguyen
1426,Green Lantern Corps,43,2006,Randy G. Mayor
1427,Green Lantern Corps,43,2006,Peter J. Tomasi
1428,Green Lantern Corps,43,2006,Rebecca Buchman
1429,Green Lantern Corps,43,2006,Patrick 'Pat' Gleason
1430,Green Arrow,20,2001,James R. Sinclair - 'Jim'
1431,Green Arrow,20,2001,Ande J. Parks
1432,Green Arrow,20,2001,Brad Meltzer
1433,Green Arrow,20,2001,Phillip 'Phil' Hester
1434,Green Lantern,95,1990,Ron Marz
1435,Green Lantern,95,1990,Jim Starlin
1436,Green Lantern,95,1990,Rob Schwager - 'RJS'
1437,Green Lantern,95,1990,Terry Austin
1438,Justice League of America,None,2006,Marlo Alquiza
1439,Justice League of America,None,2006,Mark Bagley
1440,Justice League of America,None,2006,Jonathan Glapion
1441,Justice League of America,None,2006,Pete Pantazis
1442,Justice League of America,None,2006,James Dale Robinson
1443,Justice League of America,None,2006,Scott Hanna
1444,Justice League of America,None,2006,Walden Wong
1445,Justice League of America,None,2006,Robert 'Rob' Hunter - 'Bobby-C'
1446,Justice League of America,None,2006,Norm Rapmund
1447,Wonder Woman,603,1942,Eduardo Pansica
1448,Wonder Woman,603,1942,Scott Koblish
1449,Wonder Woman,603,1942,Allan Goldman
1450,Wonder Woman,603,1942,Alex Sinclair - 'Sinc'
1451,Wonder Woman,603,1942,Don Kramer
1452,Wonder Woman,603,1942,Jay Leisten
1453,Wonder Woman,603,1942,Joseph Michael Straczynski Sr. - 'JMS'
1454,Wonder Woman '77 [I],12,2015,Romulo Fajardo Jr.
1455,Wonder Woman '77 [I],12,2015,Cat Staggs
1456,Wonder Woman '77 [I],12,2015,Marc Andreyko
1457,Green Lantern,12,2005,Geoff Johns
1458,Green Lantern,12,2005,Ivan Reis - 'Rodrigo Ivan dos Reis'
1459,Green Lantern,12,2005,Oclair Albert
1460,Green Lantern,12,2005,W. Moose Baumann
1461,Flashpoint: Hal Jordan,3,2011,Cliff Richards
1462,Flashpoint: Hal Jordan,3,2011,Adam Schlagman
1463,Flashpoint: Hal Jordan,3,2011,Allen Passalaqua - 'Allen Passalaqua as I.L.L.'
1464,Justice League,41,2011,Geoff Johns
1465,Justice League,41,2011,Brad Anderson
1466,Justice League,41,2011,Jason Fabok
1467,Birds of Prey,38,1999,Andrew J. Pepoy
1468,Birds of Prey,38,1999,Charles 'Chuck' Dixon
1469,Birds of Prey,38,1999,Gloria Vasquez
1470,Birds of Prey,38,1999,Wildstorm FX
1471,Birds of Prey,38,1999,James W. Fry III
1472,Justice League of America,14,2006,Ed Benes
1473,Justice League of America,14,2006,Alex Sinclair - 'Sinc'
1474,Justice League of America,14,2006,Sandra Hope-Archer
1475,Justice League of America,14,2006,Dwayne McDuffie
1476,Wonder Woman,205,1987,Tanya Horie
1477,Wonder Woman,205,1987,Ray Snyder
1478,Wonder Woman,205,1987,Drew Edward Johnson
1479,Wonder Woman,205,1987,Richard Horie - 'RMH'
1480,Wonder Woman,205,1987,Greg Rucka
1481,Static Shock: Rebirth of the Cool,3,2001,John Paul Leon
1482,Static Shock: Rebirth of the Cool,3,2001,Melissa Edwards
1483,Static Shock: Rebirth of the Cool,3,2001,Dwayne McDuffie
1485,Static Shock: Rebirth of the Cool,3,2001,Milestone
1486,Green Lantern,53,1990,Romeo Tanghal
1487,Green Lantern,53,1990,Ron Marz
1488,Green Lantern,53,1990,Steve Mattsson
1489,Green Lantern,53,1990,Darryl Banks
1490,Green Lantern,None,2011,Geoff Johns
1491,Green Lantern,175,1990,Andy Smith
1492,Green Lantern,175,1990,Rodney Ramos
1493,Green Lantern,175,1990,W. Moose Baumann
1494,Green Lantern,175,1990,Benjamin 'Ben' Raab
1495,Deathstroke,7,2016,Jeromy N. Cox
1496,Deathstroke,7,2016,Carlos 'Carlo' Pagulayan
1497,Deathstroke,7,2016,Jason Paz
1498,Deathstroke,7,2016,Christopher Priest
1499,Deathstroke,7,2016,Larry Hama
1500,Justice League of America,19,1960,Michael 'Mike' Sekowsky
1501,Justice League of America,19,1960,Gardner F. Fox
1502,Justice League of America,19,1960,Bernard Sachs
1503,Green Lantern,104,1960,Adrienne Roy
1504,Green Lantern,104,1960,Vincent Joseph Colletta - 'Vince / Vinnie / P. Zorito'
1505,Green Lantern,104,1960,Alex Saviuk
1506,Green Lantern,104,1960,Dennis 'Denny' O'Neil
1507,Titans: Rebirth,1,2016,Andrew Dalhouse
1508,Titans: Rebirth,1,2016,Brett Booth
1509,Titans: Rebirth,1,2016,Norm Rapmund
1510,Titans: Rebirth,1,2016,Dan Abnett
1511,Justice League Adventures,30,2002,Heroic Age
1512,Justice League Adventures,30,2002,Tim Levins
1513,Justice League Adventures,30,2002,Cartoon Network
1514,Justice League Adventures,30,2002,Stuart Moore
1515,Justice League Adventures,30,2002,Robin Riggs
1517,Green Arrow,58,2001,Jim Calafiore
1518,Green Arrow,58,2001,Paul Lee
1519,Green Arrow,58,2001,Dan Davis
1520,Green Arrow,58,2001,Guy Major
1521,All-Flash,7,1941,Everett E. Hibbard
1522,All-Flash,7,1941,Sheldon Mayer
1523,Green Lantern: Rebirth,1,2004,Geoff Johns
1524,Green Lantern: Rebirth,1,2004,Ethan Van Sciver
1525,Green Lantern: Rebirth,1,2004,W. Moose Baumann
1526,Batgirl,1,2016,Rafael Albuquerque
1527,Batgirl,1,2016,Dave McCaig
1528,Batgirl,1,2016,Hope Raue Larson
1529,Justice League: Darkseid War: Batman,1,2015,Fernando Pasarin
1530,Justice League: Darkseid War: Batman,1,2015,Peter J. Tomasi
